"last_name, first_name",player_id,year,pa,ab,hit,home_run,r_total_stolen_base,walk,strikeout,batting_avg,on_base_percent,slg_percent,on_base_plus_slg,isolated_power,babip,xba,xslg,woba,xwoba,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,r_run,b_rbi,data_year,last_name,first_name,Name,Name_norm,diff_xwoba,breakout_score,diff_babip
"France, Ty",664034,2025,490,444,114,7,1,22,83,0.257,0.32,0.36,0.68,0.103,0.294,0.248,0.435,0.324,0.324,90.25,10.5,10.1,50,52,2025,France,Ty,Ty France,tyfrance,0.0,31.48,0.006000000000000005
"Rosario, Amed",642708,2025,191,181,50,6,1,7,31,0.276,0.309,0.436,0.745,0.16,0.279,0.269,0.448,0.318,0.326,90.95,9.9,8.65,20,23,2025,Rosario,Amed,Amed Rosario,amedrosario,0.008000000000000007,31.410000000000004,0.020999999999999963
"Refsnyder, Rob",608701,2025,209,182,49,9,3,24,54,0.269,0.354,0.484,0.838,0.215,0.241,0.206,0.373,0.277,0.294,89.05,12.1,9.4,29,30,2025,Refsnyder,Rob,Rob Refsnyder,robrefsnyder,0.01699999999999996,31.08999999999999,0.059
"Mayo, Coby",691723,2025,294,263,57,11,3,27,84,0.217,0.299,0.388,0.687,0.171,0.26,0.206,0.37,0.292,0.288,89.6,20.7,9.95,30,28,2025,Mayo,Coby,Coby Mayo,cobymayo,-0.0040000000000000036,30.53999999999999,0.03999999999999998
"Alexander, Blaze",677942,2025,266,230,53,7,4,22,86,0.23,0.323,0.383,0.706,0.153,0.361,0.256,0.414,0.331,0.329,91.3,7.3,10.1,31,28,2025,Alexander,Blaze,Blaze Alexander,blazealexander,-0.0020000000000000018,30.169999999999995,-0.061
"Hoskins, Rhys",656555,2025,328,279,66,12,2,38,91,0.237,0.332,0.416,0.748,0.179,0.262,0.192,0.342,0.312,0.298,89.2,22.1,10.5,30,43,2025,Hoskins,Rhys,Rhys Hoskins,rhyshoskins,-0.014000000000000012,30.14,0.03799999999999998
"Steer, Spencer",668715,2025,568,509,121,21,7,51,129,0.238,0.312,0.411,0.723,0.173,0.276,0.233,0.416,0.322,0.321,88.4,18.8,10.85,66,75,2025,Steer,Spencer,Spencer Steer,spencersteer,-0.0010000000000000009,30.04000000000001,0.023999999999999966
"Feduccia, Hunter",676439,2025,105,88,13,0,1,15,29,0.148,0.267,0.205,0.472,0.057,0.273,0.208,0.33,0.254,0.293,89.1,16.3,8.7,5,8,2025,Feduccia,Hunter,Hunter Feduccia,hunterfeduccia,0.03899999999999998,29.929999999999986,0.02699999999999997
"Rutschman, Adley",668939,2025,365,322,71,9,0,40,57,0.22,0.307,0.366,0.673,0.146,0.252,0.258,0.432,0.32,0.34,89.4,13.7,8.15,37,29,2025,Rutschman,Adley,Adley Rutschman,adleyrutschman,0.020000000000000018,29.900000000000013,0.04799999999999999
"Pereira, Everson",677592,2025,73,65,9,2,2,7,28,0.138,0.219,0.246,0.465,0.108,0.244,0.19,0.355,0.263,0.272,89.2,13.2,9.25,7,8,2025,Pereira,Everson,Everson Pereira,eversonpereira,0.009000000000000008,29.860000000000007,0.055999999999999994
"Narváez, Carlos",665966,2025,446,403,97,15,1,38,111,0.241,0.306,0.419,0.725,0.178,0.296,0.22,0.364,0.288,0.29,91.25,13.2,8.55,51,50,2025,Narváez,Carlos,Carlos Narváez,carlosnarvaez,0.0020000000000000018,29.759999999999998,0.0040000000000000036
"Sheets, Gavin",657757,2025,545,492,124,19,2,44,107,0.252,0.317,0.429,0.746,0.177,0.268,0.252,0.432,0.326,0.333,89.55,14.0,8.9,57,71,2025,Sheets,Gavin,Gavin Sheets,gavinsheets,0.007000000000000006,29.71999999999999,0.03199999999999997
"Wagaman, Eric",676572,2025,514,476,119,9,4,32,100,0.25,0.296,0.378,0.674,0.128,0.275,0.252,0.43,0.309,0.322,90.175,10.6,8.225,56,53,2025,Wagaman,Eric,Eric Wagaman,ericwagaman,0.013000000000000012,29.529999999999994,0.024999999999999967
"Myers, Dane",667472,2025,333,307,72,6,18,23,77,0.235,0.291,0.326,0.617,0.091,0.311,0.258,0.42,0.302,0.332,90.4,10.5,7.95,29,31,2025,Myers,Dane,Dane Myers,danemyers,0.030000000000000027,29.190000000000012,-0.01100000000000001
"Muncy, Max",691777,2025,220,206,44,9,1,10,68,0.214,0.259,0.379,0.638,0.165,0.294,0.214,0.374,0.295,0.282,88.95,9.3,11.15,17,23,2025,Muncy,Max,Max Muncy,maxmuncy,-0.013000000000000012,29.100000000000005,0.006000000000000005
"Garver, Mitch",641598,2025,290,254,53,9,3,30,80,0.209,0.297,0.343,0.64,0.134,0.26,0.202,0.352,0.287,0.3,90.75,19.4,7.25,29,30,2025,Garver,Mitch,Mitch Garver,mitchgarver,0.013000000000000012,29.04,0.03999999999999998
"Suárez, Eugenio",553993,2025,657,588,134,49,4,46,196,0.228,0.298,0.526,0.824,0.298,0.263,0.205,0.392,0.315,0.291,88.55,21.9,10.95,91,118,2025,Suárez,Eugenio,Eugenio Suárez,eugeniosuarez,-0.02400000000000002,28.74999999999999,0.03699999999999998
