Name,Oponente,PA_hist,AVG_hist,K%_hist,xwOBA_hist,EV_hist,Fav_Score,Clasificacion
Trey Yesavage,New York Yankees,62,0.21,25.8,0.314,87.0,3,🟢 Favorable
Trey Yesavage,Philadelphia Phillies,62,0.21,25.8,0.314,87.0,3,🟢 Favorable
Trey Yesavage,Pittsburgh Pirates,62,0.21,25.8,0.314,87.0,3,🟢 Favorable
Trey Yesavage,San Diego Padres,62,0.21,25.8,0.314,87.0,3,🟢 Favorable
Trey Yesavage,San Francisco Giants,62,0.21,25.8,0.314,87.0,3,🟢 Favorable
Trey Yesavage,Seattle Mariners,62,0.21,25.8,0.314,87.0,3,🟢 Favorable
Trey Yesavage,St. Louis Cardinals,62,0.21,25.8,0.314,87.0,3,🟢 Favorable
Trey Yesavage,Tampa Bay Rays,62,0.21,25.8,0.314,87.0,3,🟢 Favorable
Trey Yesavage,Texas Rangers,62,0.21,25.8,0.314,87.0,3,🟢 Favorable
Trey Yesavage,Toronto Blue Jays,62,0.21,25.8,0.314,87.0,3,🟢 Favorable
Trey Yesavage,Washington Nationals,62,0.21,25.8,0.314,87.0,3,🟢 Favorable
Zebby Matthews,Arizona Diamondbacks,531,0.273,24.7,0.346,84.2,2,🟡 Normal
Zebby Matthews,Athletics,531,0.273,24.7,0.346,84.2,2,🟡 Normal
Zebby Matthews,Atlanta Braves,531,0.273,24.7,0.346,84.2,2,🟡 Normal
Zebby Matthews,Baltimore Orioles,531,0.273,24.7,0.346,84.2,2,🟡 Normal
Zebby Matthews,Boston Red Sox,531,0.273,24.7,0.346,84.2,2,🟡 Normal
Zebby Matthews,Chicago Cubs,531,0.273,24.7,0.346,84.2,2,🟡 Normal
Zebby Matthews,Chicago White Sox,531,0.273,24.7,0.346,84.2,2,🟡 Normal
Zebby Matthews,Cincinnati Reds,531,0.273,24.7,0.346,84.2,2,🟡 Normal
Zebby Matthews,Cleveland Guardians,531,0.273,24.7,0.346,84.2,2,🟡 Normal
Zebby Matthews,Colorado Rockies,531,0.273,24.7,0.346,84.2,2,🟡 Normal
Zebby Matthews,Detroit Tigers,531,0.273,24.7,0.346,84.2,2,🟡 Normal
Zebby Matthews,Houston Astros,531,0.273,24.7,0.346,84.2,2,🟡 Normal
Zebby Matthews,Kansas City Royals,531,0.273,24.7,0.346,84.2,2,🟡 Normal
Zebby Matthews,Los Angeles Angels,531,0.273,24.7,0.346,84.2,2,🟡 Normal
Zebby Matthews,Los Angeles Dodgers,531,0.273,24.7,0.346,84.2,2,🟡 Normal
Zebby Matthews,Miami Marlins,531,0.273,24.7,0.346,84.2,2,🟡 Normal
Zebby Matthews,Milwaukee Brewers,531,0.273,24.7,0.346,84.2,2,🟡 Normal
Zebby Matthews,Minnesota Twins,531,0.273,24.7,0.346,84.2,2,🟡 Normal
Zebby Matthews,New York Mets,531,0.273,24.7,0.346,84.2,2,🟡 Normal
Zebby Matthews,New York Yankees,531,0.273,24.7,0.346,84.2,2,🟡 Normal
Zebby Matthews,Philadelphia Phillies,531,0.273,24.7,0.346,84.2,2,🟡 Normal
Zebby Matthews,Pittsburgh Pirates,531,0.273,24.7,0.346,84.2,2,🟡 Normal
Zebby Matthews,San Diego Padres,531,0.273,24.7,0.346,84.2,2,🟡 Normal
Zebby Matthews,San Francisco Giants,531,0.273,24.7,0.346,84.2,2,🟡 Normal
Zebby Matthews,Seattle Mariners,531,0.273,24.7,0.346,84.2,2,🟡 Normal
Zebby Matthews,St. Louis Cardinals,531,0.273,24.7,0.346,84.2,2,🟡 Normal
Zebby Matthews,Tampa Bay Rays,531,0.273,24.7,0.346,84.2,2,🟡 Normal
Zebby Matthews,Texas Rangers,531,0.273,24.7,0.346,84.2,2,🟡 Normal
Zebby Matthews,Toronto Blue Jays,531,0.273,24.7,0.346,84.2,2,🟡 Normal
Zebby Matthews,Washington Nationals,531,0.273,24.7,0.346,84.2,2,🟡 Normal
Gordon Graceffo,Arizona Diamondbacks,225,0.253,20.4,0.327,85.7,2,🟡 Normal
Gordon Graceffo,Athletics,225,0.253,20.4,0.327,85.7,2,🟡 Normal
Gordon Graceffo,Atlanta Braves,225,0.253,20.4,0.327,85.7,2,🟡 Normal
Gordon Graceffo,Baltimore Orioles,225,0.253,20.4,0.327,85.7,2,🟡 Normal
Gordon Graceffo,Boston Red Sox,225,0.253,20.4,0.327,85.7,2,🟡 Normal
Gordon Graceffo,Chicago Cubs,225,0.253,20.4,0.327,85.7,2,🟡 Normal
Gordon Graceffo,Chicago White Sox,225,0.253,20.4,0.327,85.7,2,🟡 Normal
Gordon Graceffo,Cincinnati Reds,225,0.253,20.4,0.327,85.7,2,🟡 Normal
Gordon Graceffo,Cleveland Guardians,225,0.253,20.4,0.327,85.7,2,🟡 Normal
Gordon Graceffo,Colorado Rockies,225,0.253,20.4,0.327,85.7,2,🟡 Normal
Gordon Graceffo,Detroit Tigers,225,0.253,20.4,0.327,85.7,2,🟡 Normal
Gordon Graceffo,Houston Astros,225,0.253,20.4,0.327,85.7,2,🟡 Normal
Gordon Graceffo,Kansas City Royals,225,0.253,20.4,0.327,85.7,2,🟡 Normal
Gordon Graceffo,Los Angeles Angels,225,0.253,20.4,0.327,85.7,2,🟡 Normal
Gordon Graceffo,Los Angeles Dodgers,225,0.253,20.4,0.327,85.7,2,🟡 Normal
Gordon Graceffo,Miami Marlins,225,0.253,20.4,0.327,85.7,2,🟡 Normal
Gordon Graceffo,Milwaukee Brewers,225,0.253,20.4,0.327,85.7,2,🟡 Normal
Gordon Graceffo,Minnesota Twins,225,0.253,20.4,0.327,85.7,2,🟡 Normal
Gordon Graceffo,New York Mets,225,0.253,20.4,0.327,85.7,2,🟡 Normal
Gordon Graceffo,New York Yankees,225,0.253,20.4,0.327,85.7,2,🟡 Normal
Gordon Graceffo,Philadelphia Phillies,225,0.253,20.4,0.327,85.7,2,🟡 Normal
Gordon Graceffo,Pittsburgh Pirates,225,0.253,20.4,0.327,85.7,2,🟡 Normal
Gordon Graceffo,San Diego Padres,225,0.253,20.4,0.327,85.7,2,🟡 Normal
Gordon Graceffo,San Francisco Giants,225,0.253,20.4,0.327,85.7,2,🟡 Normal
Gordon Graceffo,Seattle Mariners,225,0.253,20.4,0.327,85.7,2,🟡 Normal
Gordon Graceffo,St. Louis Cardinals,225,0.253,20.4,0.327,85.7,2,🟡 Normal
Gordon Graceffo,Tampa Bay Rays,225,0.253,20.4,0.327,85.7,2,🟡 Normal
Gordon Graceffo,Texas Rangers,225,0.253,20.4,0.327,85.7,2,🟡 Normal
