yahoo_name,yahoo_norm,position,status,ownership
Tyler Heineman,tylerheineman,C,active,freeagent
Gabe Speier,gabespeier,RP,active,freeagent
Donovan Walton,donovanwalton,"2B,3B",active,freeagent
Jonah Heim,jonahheim,C,active,freeagent
Alí Sánchez,alisanchez,C,active,freeagent
Tejay Antone,tejayantone,RP,active,freeagent
Kyle Hart,kylehart,"SP,RP",active,freeagent
Jake Cronenworth,jakecronenworth,"1B,2B,SS",active,freeagent
Zach McKinstry,zachmckinstry,"2B,3B,SS,OF",active,freeagent
Garrett Cleavinger,garrettcleavinger,RP,active,freeagent
Kyle Finnegan,kylefinnegan,RP,active,freeagent
Yohan Ramírez,yohanramirez,RP,active,freeagent
Drey Jameson,dreyjameson,RP,active,freeagent
Braden Shewmake,bradenshewmake,"2B,3B,SS",IL10,freeagent
Tyler Callihan,tylercallihan,"2B,OF",active,freeagent
Ivan Johnson,ivanjohnson,2B,active,freeagent
Tyler Freeman,tylerfreeman,"2B,OF",active,freeagent
Jonathan Bowlan,jonathanbowlan,RP,active,freeagent
Kameron Misner,kameronmisner,OF,active,freeagent
Ryan Jeffers,ryanjeffers,C,IL10,freeagent
Brett Baty,brettbaty,"1B,2B,3B,OF",active,freeagent
Kevin Alcantara,kevinalcantara,OF,active,freeagent
Jasson Domínguez,jassondominguez,OF,active,freeagent
Anthony Volpe,anthonyvolpe,SS,active,freeagent
Rodolfo Durán,rodolfoduran,C,active,freeagent
Rafael Marchán,rafaelmarchan,C,active,freeagent
Erik Miller,erikmiller,RP,active,freeagent
Seth Johnson,sethjohnson,"SP,RP",active,freeagent
Alejandro Kirk,alejandrokirk,C,active,freeagent
Gabriel Moreno,gabrielmoreno,C,active,freeagent
Andrew Vaughn,andrewvaughn,1B,active,freeagent
Luisangel Acuña,luisangelacuna,"2B,SS,OF",active,freeagent
Ezequiel Duran,ezequielduran,"1B,2B,3B,SS,OF",active,freeagent
Ryan Thompson,ryanthompson,RP,active,freeagent
Taylor Walls,taylorwalls,SS,active,freeagent
Jake Meyers,jakemeyers,OF,active,freeagent
Spencer Torkelson,spencertorkelson,1B,active,freeagent
Brian Navarreto,briannavarreto,C,active,freeagent
Alex Vesia,alexvesia,RP,active,freeagent
Sebastián Rivero,sebastianrivero,C,IL10,freeagent
Tyler Zuber,tylerzuber,RP,active,freeagent
Cole Wilcox,colewilcox,RP,active,freeagent
Logan O'Hoppe,loganohoppe,C,DTD,freeagent
Freddy Fermin,freddyfermin,C,IL10,freeagent
Clayton Beeter,claytonbeeter,RP,active,freeagent
Masyn Winn,masynwinn,SS,active,freeagent
Austin Martin,austinmartin,"2B,OF",active,freeagent
Isaac Mattson,isaacmattson,RP,active,freeagent
Garrett Stallings,garrettstallings,"SP,RP",active,freeagent
Nick Gonzales,nickgonzales,"2B,3B,SS",active,freeagent
Patrick Bailey,patrickbailey,C,active,freeagent
John King,johnking,RP,active,freeagent
Brett Sullivan,brettsullivan,C,active,freeagent
Justin Foscue,justinfoscue,"1B,2B",active,freeagent
Eduard Bazardo,eduardbazardo,RP,active,freeagent
Oswald Peraza,oswaldperaza,"1B,2B,3B,SS",active,freeagent
Tyler Wells,tylerwells,"SP,RP",active,freeagent
Ha-Seong Kim,haseongkim,"2B,SS",active,freeagent
Bryce Elder,bryceelder,SP,active,freeagent
Blaze Jordan,blazejordan,"1B,3B",active,freeagent
Drew Romo,drewromo,C,active,freeagent
Brenton Doyle,brentondoyle,OF,IL10,freeagent
Nick Loftin,nickloftin,"2B,3B,OF",active,freeagent
Garrett Mitchell,garrettmitchell,OF,active,freeagent
Endy Rodríguez,endyrodriguez,"C,1B",active,freeagent
Austin Wells,austinwells,C,active,freeagent
Junior Perez,juniorperez,OF,active,freeagent
Carmen Mlodzinski,carmenmlodzinski,"SP,RP",active,freeagent
Alika Williams,alikawilliams,"3B,SS",active,freeagent
Tommy Nance,tommynance,RP,active,freeagent
Matt Vierling,mattvierling,OF,active,freeagent
Lars Nootbaar,larsnootbaar,OF,active,freeagent
Austin Warren,austinwarren,RP,active,freeagent
Justin Bruihl,justinbruihl,RP,active,freeagent
Romy Gonzalez,romygonzalez,"1B,2B",active,freeagent
Ryan Feltner,ryanfeltner,SP,active,freeagent
Jovani Morán,jovanimoran,"SP,RP",active,freeagent
Nick Fortes,nickfortes,C,active,freeagent
Dylan Lee,dylanlee,RP,active,freeagent
Calvin Faucher,calvinfaucher,RP,active,freeagent
Steven Kwan,stevenkwan,OF,active,freeagent
Richie Palacios,richiepalacios,"2B,OF",active,freeagent
José Tena,josetena,"2B,3B",active,freeagent
Ezequiel Tovar,ezequieltovar,SS,active,freeagent
Ron Marinaccio,ronmarinaccio,RP,active,freeagent
JP Sears,jpsears,SP,active,freeagent
James Outman,jamesoutman,OF,active,freeagent
Jorbit Vivas,jorbitvivas,"2B,3B",active,freeagent
Brendan Donovan,brendandonovan,"2B,3B,SS,OF",IL10,freeagent
Jordan Lawlar,jordanlawlar,"3B,OF",IL10,freeagent
Adrian Del Castillo,adriandelcastillo,C,active,freeagent
Vaughn Grissom,vaughngrissom,"1B,2B,3B",active,freeagent
Dylan Dodd,dylandodd,RP,active,freeagent
Victor Vodnik,victorvodnik,RP,active,freeagent
Colton Cowser,coltoncowser,OF,active,freeagent
Coby Mayo,cobymayo,"1B,3B",active,freeagent
Joey Ortiz,joeyortiz,"3B,SS",active,freeagent
Marcelo Mayer,marcelomayer,"2B,3B,SS",IL10,freeagent
Chris Murphy,chrismurphy,RP,active,freeagent
Yohendrick Piñango,yohendrickpinango,OF,active,freeagent
Matt McLain,mattmclain,"2B,SS",active,freeagent
Angel Martínez,angelmartinez,"2B,OF",IL10,freeagent
Lenyn Sosa,lenynsosa,"1B,2B",IL10,freeagent
Dylan Smith,dylansmith,RP,active,freeagent
Ryan Kreidler,ryankreidler,"SS,OF",active,freeagent
Colt Keith,coltkeith,"1B,2B,3B",active,freeagent
Yainer Diaz,yainerdiaz,C,active,freeagent
Sam Bachman,sambachman,RP,active,freeagent
Denzer Guzman,denzerguzman,"3B,SS",active,freeagent
Joe Mack,joemack,C,active,freeagent
Sal Frelick,salfrelick,OF,active,freeagent
Chase Petty,chasepetty,"SP,RP",active,freeagent
Carlos Cortes,carloscortes,OF,active,freeagent
Brandon Lockridge,brandonlockridge,OF,IL10,freeagent
Max Muncy,maxmuncy,"2B,3B,SS",active,freeagent
Zack Gelof,zackgelof,"2B,3B,OF",IL10,freeagent
Henry Davis,henrydavis,C,active,freeagent
Mike Burrows,mikeburrows,"SP,RP",active,freeagent
Brandon Valenzuela,brandonvalenzuela,"C,1B",active,freeagent
Edwin Arroyo,edwinarroyo,"2B,SS",active,freeagent
Adam Macko,adammacko,"SP,RP",active,freeagent
Michael McGreevy,michaelmcgreevy,SP,active,freeagent
Heriberto Hernández,heribertohernandez,OF,active,freeagent
Josh Smith,joshsmith,"1B,2B,3B,SS,OF",active,freeagent
Evan Carter,evancarter,OF,active,freeagent
Cameron Cauley,cameroncauley,"2B,SS,OF",active,freeagent
Drew Millas,drewmillas,C,active,freeagent
Andre Pallante,andrepallante,SP,active,freeagent
Beau Brieske,beaubrieske,RP,active,freeagent
Tyler Holton,tylerholton,"SP,RP",active,freeagent
Danny Young,dannyyoung,RP,active,freeagent
Yennier Cano,yenniercano,RP,active,freeagent
Chase Silseth,chasesilseth,RP,active,freeagent
Colin Holderman,colinholderman,RP,active,freeagent
Jared Koenig,jaredkoenig,RP,active,freeagent
Matt Gage,mattgage,RP,active,freeagent
Jake Bird,jakebird,RP,active,freeagent
Buddy Kennedy,buddykennedy,3B,active,freeagent
Alex Call,alexcall,OF,active,freeagent
Nate Eaton,nateeaton,"3B,OF",active,freeagent
Michael Massey,michaelmassey,"2B,OF",active,freeagent
Huascar Brazobán,huascarbrazoban,"SP,RP",active,freeagent
Brennan Bernardino,brennanbernardino,"SP,RP",active,freeagent
Hunter Gaddis,huntergaddis,RP,active,freeagent
Kerry Carpenter,kerrycarpenter,OF,active,freeagent
Chuckie Robinson,chuckierobinson,C,active,freeagent
Greg Weissert,gregweissert,RP,active,freeagent
Spencer Steer,spencersteer,"1B,2B,OF",active,freeagent
Fernando Cruz,fernandocruz,RP,active,freeagent
Jared Young,jaredyoung,"1B,OF",active,freeagent
Gavin Hollowell,gavinhollowell,RP,active,freeagent
Miles Mastrobuoni,milesmastrobuoni,"2B,3B,OF",active,freeagent
José Fermín,josefermin,"2B,3B,OF",active,freeagent
Nathan Lukes,nathanlukes,OF,active,freeagent
Hogan Harris,hoganharris,RP,active,freeagent
Lawrence Butler,lawrencebutler,OF,active,freeagent
José A. Ferrer,joseaferrer,RP,active,freeagent
Zak Kent,zakkent,RP,active,freeagent
Jonny DeLuca,jonnydeluca,OF,active,freeagent
Brent Headrick,brentheadrick,RP,active,freeagent
Casey Legumina,caseylegumina,RP,active,freeagent
Edouard Julien,edouardjulien,"1B,2B",active,freeagent
David Hamilton,davidhamilton,"2B,3B,SS",active,freeagent
Tim Herrin,timherrin,RP,active,freeagent
Addison Barger,addisonbarger,"3B,OF",IL10,freeagent
Abner Uribe,abneruribe,RP,active,freeagent
Jorge Barrosa,jorgebarrosa,OF,active,freeagent
George Soriano,georgesoriano,RP,active,freeagent
Jared Triolo,jaredtriolo,"1B,2B,3B,SS",active,freeagent
Masataka Yoshida,masatakayoshida,OF,active,freeagent
Kevin Kelly,kevinkelly,RP,active,freeagent
Kodai Senga,kodaisenga,SP,active,freeagent
Jonatan Clase,jonatanclase,OF,active,freeagent
Anthony Molina,anthonymolina,RP,active,freeagent
Brandon Pfaadt,brandonpfaadt,"SP,RP",active,freeagent
Dominic Canzone,dominiccanzone,OF,active,freeagent
Jackson Holliday,jacksonholliday,"2B,SS",active,freeagent
Dylan Beavers,dylanbeavers,OF,active,freeagent
Christian Koss,christiankoss,"2B,3B",active,freeagent
Gabriel Hughes,gabrielhughes,SP,active,freeagent
Carson Palmquist,carsonpalmquist,"SP,RP",active,freeagent
Noah Schultz,noahschultz,SP,active,freeagent
Elvis Alvarado,elvisalvarado,RP,active,freeagent
Drew Gilbert,drewgilbert,OF,active,freeagent
Spencer Arrighetti,spencerarrighetti,SP,active,freeagent
Beck Way,beckway,RP,active,freeagent
Mason Barnett,masonbarnett,"SP,RP",active,freeagent
Noah Cameron,noahcameron,SP,active,freeagent
Dalton Rushing,daltonrushing,C,active,freeagent
Kyle Hurt,kylehurt,RP,active,freeagent
Edgardo Henriquez,edgardohenriquez,RP,active,freeagent
Victor Mesa Jr.,victormesajr,OF,active,freeagent
Marco Raya,marcoraya,"SP,RP",active,freeagent
Eric Orze,ericorze,RP,active,freeagent
Christian Scott,christianscott,SP,active,freeagent
Daniel Susac,danielsusac,C,IL10,freeagent
Henry Bolte,henrybolte,OF,active,freeagent
Colby Thomas,colbythomas,OF,active,freeagent
Justin Crawford,justincrawford,OF,active,freeagent
Hao-Yu Lee,haoyulee,"2B,3B",active,freeagent
Gabriel Rincones Jr.,gabrielrinconesjr,OF,active,freeagent
Orion Kerkering,orionkerkering,RP,active,freeagent
Alek Jacob,alekjacob,RP,active,freeagent
Trevor McDonald,trevormcdonald,"SP,RP",active,freeagent
Max Rajcic,maxrajcic,"SP,RP",active,freeagent
Jimmy Crooks,jimmycrooks,C,active,freeagent
Kyle Manzardo,kylemanzardo,1B,active,freeagent
Mason Montgomery,masonmontgomery,"SP,RP",active,freeagent
Chandler Simpson,chandlersimpson,OF,DTD,freeagent
Tristan Peters,tristanpeters,OF,active,freeagent
Trevor Martin,trevormartin,RP,active,freeagent
Alejandro Osuna,alejandroosuna,OF,active,freeagent
