Name,Señales,Score_Explosion,Detalle,ERA,xERA,xwOBA,EV,diff_era
Bradgley Rodriguez,3,8,xwOBA élite 0.235 — domina contacto | EV permitida baja 86.9 mph | xBA permitida muy baja 0.187,2.08,2.26,0.235,86.9,-0.18
Evan Phillips,3,8,xwOBA élite 0.207 — domina contacto | EV permitida baja 81.5 mph | xBA permitida muy baja 0.218,0.0,1.77,0.207,81.5,-1.77
Julian Garcia,3,8,xwOBA élite 0.265 — domina contacto | EV permitida baja 86.0 mph | xBA permitida muy baja 0.159,1.93,2.87,0.265,86.0,-0.94
Hogan Harris,3,7,xwOBA bajo 0.288 | EV permitida baja 86.5 mph | xBA permitida muy baja 0.195,3.51,3.41,0.288,86.5,0.1
Greg Weissert,3,7,xwOBA bajo 0.288 | EV permitida baja 86.9 mph | xBA permitida muy baja 0.220,3.79,3.41,0.288,86.9,0.38
Erik Miller,3,7,xwOBA bajo 0.299 | EV permitida baja 84.9 mph | xBA permitida muy baja 0.189,3.6,3.69,0.299,84.9,-0.09
William Kempner,3,7,xwOBA bajo 0.285 | EV permitida baja 83.9 mph | xBA permitida muy baja 0.205,1.74,3.34,0.285,83.9,-1.6
Orlando Ribalta,3,7,xwOBA bajo 0.293 | EV permitida baja 84.5 mph | xBA permitida muy baja 0.214,3.29,3.54,0.293,84.5,-0.25
Garrett Cleavinger,3,7,xwOBA bajo 0.286 | EV permitida baja 86.1 mph | xBA permitida muy baja 0.221,3.86,3.36,0.286,86.1,0.5
Brad Keller,3,7,xwOBA bajo 0.284 | EV permitida baja 85.5 mph | xBA permitida muy baja 0.226,4.02,3.31,0.284,85.5,0.71
Camilo Doval,3,7,ERA 4.58 pero xERA 3.12 — diferencia +1.46 | xwOBA élite 0.276 — domina contacto | xBA permitida muy baja 0.221,4.58,3.12,0.276,90.7,1.46
Chris Murphy,4,7,ERA 4.79 pero xERA 3.59 — diferencia +1.20 | xwOBA bajo 0.295 | EV permitida normal-baja 87.2 mph | xBA permitida muy baja 0.208,4.79,3.59,0.295,87.2,1.2
Angel Chivilli,3,7,xwOBA bajo 0.297 | EV permitida baja 83.9 mph | xBA permitida muy baja 0.175,1.35,3.64,0.297,83.9,-2.29
Abner Uribe,3,6,xwOBA élite 0.258 — domina contacto | EV permitida normal-baja 87.0 mph | xBA permitida muy baja 0.215,2.63,2.72,0.258,87.0,-0.09
Jovani Morán,3,6,xwOBA élite 0.263 — domina contacto | EV permitida normal-baja 87.6 mph | xBA permitida muy baja 0.177,2.95,2.83,0.263,87.6,0.12
Brent Headrick,3,6,xwOBA élite 0.271 — domina contacto | EV permitida normal-baja 88.0 mph | xBA permitida muy baja 0.219,1.57,3.01,0.271,88.0,-1.44
A.J. Minter,3,6,xwOBA élite 0.260 — domina contacto | EV permitida normal-baja 87.9 mph | xBA permitida muy baja 0.221,0.53,2.76,0.26,87.9,-2.23
Ryan Zeferjahn,3,6,xwOBA élite 0.278 — domina contacto | EV permitida normal-baja 88.3 mph | xBA permitida muy baja 0.161,3.8,3.17,0.278,88.3,0.63
Tyler Davis,3,6,ERA 4.44 pero xERA 3.41 — diferencia +1.03 | xwOBA bajo 0.288 | xBA permitida muy baja 0.220,4.44,3.41,0.288,89.9,1.03
Gabriel Hughes,3,6,xwOBA élite 0.256 — domina contacto | EV permitida normal-baja 87.8 mph | xBA permitida muy baja 0.215,3.0,2.68,0.256,87.8,0.32
Kyle Hurt,3,6,ERA 4.55 pero xERA 3.54 — diferencia +1.01 | xwOBA bajo 0.293 | xBA permitida muy baja 0.221,4.55,3.54,0.293,89.5,1.01
Eric Orze,2,6,ERA 5.66 pero xERA 4.08 — diferencia +1.58 | EV permitida baja 86.3 mph,5.66,4.08,0.313,86.3,1.58
Tyler Rogers,2,6,xwOBA élite 0.260 — domina contacto | EV permitida baja 84.0 mph,1.73,2.76,0.26,84.0,-1.03
Robby Ahlstrom,2,6,ERA 6.39 pero xERA 4.77 — diferencia +1.62 | EV permitida baja 85.2 mph,6.39,4.77,0.336,85.2,1.62
Travis Adams,2,6,ERA 6.46 pero xERA 4.43 — diferencia +2.03 | EV permitida baja 86.8 mph,6.46,4.43,0.325,86.8,2.03
James Karinchak,3,6,xwOBA élite 0.268 — domina contacto | EV permitida normal-baja 88.4 mph | xBA permitida muy baja 0.158,1.86,2.94,0.268,88.4,-1.08
Luke Weaver,3,6,xwOBA élite 0.260 — domina contacto | EV permitida normal-baja 88.0 mph | xBA permitida muy baja 0.199,1.89,2.76,0.26,88.0,-0.87
Jonathan Loáisiga,2,6,xwOBA élite 0.272 — domina contacto | EV permitida baja 86.1 mph,2.29,3.03,0.272,86.1,-0.74
Aaron Ashby,3,6,xwOBA élite 0.272 — domina contacto | EV permitida normal-baja 87.5 mph | xBA permitida muy baja 0.201,3.13,3.03,0.272,87.5,0.1
Chris Roycroft,2,6,ERA 12.96 pero xERA 7.45 — diferencia +5.51 | EV permitida baja 86.7 mph,12.96,7.45,0.405,86.7,5.51
Sam Bachman,3,5,xwOBA bajo 0.289 | EV permitida normal-baja 87.2 mph | xBA permitida muy baja 0.212,4.24,3.44,0.289,87.2,0.8
Mason Montgomery,3,5,xwOBA bajo 0.283 | EV permitida normal-baja 87.2 mph | xBA permitida muy baja 0.211,4.25,3.29,0.283,87.2,0.96
Grant Taylor,2,5,xwOBA élite 0.241 — domina contacto | xBA permitida muy baja 0.182,2.89,2.37,0.241,89.6,0.52
Victor Mederos,2,5,xwOBA élite 0.212 — domina contacto | xBA permitida muy baja 0.157,0.0,1.85,0.212,93.4,-1.85
Franco Aleman,2,5,xwOBA élite 0.265 — domina contacto | xBA permitida muy baja 0.188,1.5,2.87,0.265,88.5,-1.37
Sam Hentges,2,5,EV permitida baja 85.7 mph | xBA permitida muy baja 0.208,2.2,4.19,0.317,85.7,-1.99
Eduardo Rivera,2,5,xwOBA élite 0.187 — domina contacto | xBA permitida muy baja 0.196,0.0,1.46,0.187,95.5,-1.46
Daniel Lynch IV,3,5,xwOBA bajo 0.286 | EV permitida normal-baja 87.0 mph | xBA permitida muy baja 0.223,2.41,3.36,0.286,87.0,-0.95
Brooks Raley,3,5,xwOBA bajo 0.299 | EV permitida normal-baja 87.5 mph | xBA permitida muy baja 0.226,2.16,3.69,0.299,87.5,-1.53
Nate Pearson,2,5,EV permitida baja 84.8 mph | xBA permitida muy baja 0.229,3.6,4.43,0.325,84.8,-0.83
Chase Silseth,2,5,EV permitida baja 86.6 mph | xBA permitida muy baja 0.222,3.18,3.94,0.308,86.6,-0.76
Didier Fuentes,2,5,xwOBA élite 0.276 — domina contacto | xBA permitida muy baja 0.226,2.52,3.12,0.276,89.5,-0.6
Colin Holderman,2,5,xwOBA élite 0.274 — domina contacto | xBA permitida muy baja 0.201,1.87,3.07,0.274,88.8,-1.2
Tejay Antone,2,5,xwOBA élite 0.275 — domina contacto | xBA permitida muy baja 0.203,2.33,3.1,0.275,89.2,-0.77
Dylan Dodd,2,5,xwOBA élite 0.256 — domina contacto | xBA permitida muy baja 0.194,2.08,2.68,0.256,89.7,-0.6
Kendry Rojas,2,5,EV permitida baja 86.1 mph | xBA permitida muy baja 0.184,2.95,3.83,0.304,86.1,-0.88
Chad Dallas,2,5,xwOBA élite 0.211 — domina contacto | xBA permitida muy baja 0.149,2.45,1.83,0.211,91.2,0.62
Brandyn Garcia,2,5,xwOBA élite 0.215 — domina contacto | xBA permitida muy baja 0.163,2.05,1.9,0.215,89.4,0.15
Matt Strahm,2,5,ERA 5.40 pero xERA 3.83 — diferencia +1.57 | xBA permitida muy baja 0.225,5.4,3.83,0.304,89.5,1.57
Taylor Rogers,2,5,ERA 5.61 pero xERA 4.46 — diferencia +1.15 | EV permitida baja 86.3 mph,5.61,4.46,0.326,86.3,1.15
Spencer Miles,2,5,xwOBA bajo 0.280 | EV permitida baja 86.4 mph,2.95,3.22,0.28,86.4,-0.27
Antwone Kelly,2,5,ERA 7.71 pero xERA 3.62 — diferencia +4.09 | xwOBA bajo 0.296,7.71,3.62,0.296,90.7,4.09
Carson Palmquist,2,5,ERA 7.11 pero xERA 3.46 — diferencia +3.65 | xwOBA bajo 0.290,7.11,3.46,0.29,89.3,3.65
Andrew Kittredge,3,5,ERA 4.70 pero xERA 3.29 — diferencia +1.41 | xwOBA bajo 0.283 | EV permitida normal-baja 88.0 mph,4.7,3.29,0.283,88.0,1.41
Kyle Hart,3,5,ERA 5.23 pero xERA 3.85 — diferencia +1.38 | EV permitida normal-baja 87.8 mph | xBA permitida muy baja 0.225,5.23,3.85,0.305,87.8,1.38
Caleb Ferguson,2,5,xwOBA bajo 0.281 | EV permitida baja 84.7 mph,2.0,3.24,0.281,84.7,-1.24
Alan Rangel,3,5,xwOBA bajo 0.291 | EV permitida normal-baja 88.3 mph | xBA permitida muy baja 0.213,4.19,3.49,0.291,88.3,0.7
Cam Booser,2,5,xwOBA élite 0.238 — domina contacto | xBA permitida muy baja 0.147,1.8,2.31,0.238,91.9,-0.51
Spencer Bivens,2,5,xwOBA élite 0.250 — domina contacto | xBA permitida muy baja 0.204,0.0,2.55,0.25,92.9,-2.55
Kirby Yates,2,5,xwOBA élite 0.279 — domina contacto | xBA permitida muy baja 0.206,3.15,3.19,0.279,92.6,-0.04
Keaton Winn,2,5,xwOBA bajo 0.287 | EV permitida baja 86.0 mph,3.23,3.39,0.287,86.0,-0.16
Jack Dreyer,2,5,xwOBA élite 0.275 — domina contacto | xBA permitida muy baja 0.220,3.11,3.1,0.275,89.0,0.01
Paul Blackburn,2,5,xwOBA bajo 0.294 | EV permitida baja 86.2 mph,2.31,3.56,0.294,86.2,-1.25
Gavin Collyer,2,5,EV permitida baja 85.8 mph | xBA permitida muy baja 0.194,3.92,4.02,0.311,85.8,-0.1
Yohan Ramírez,2,5,EV permitida baja 84.3 mph | xBA permitida muy baja 0.222,3.38,3.72,0.3,84.3,-0.34
Danny Young,2,4,xwOBA bajo 0.291 | xBA permitida muy baja 0.183,0.0,3.49,0.291,96.7,-3.49
Lake Bachar,2,4,xwOBA bajo 0.283 | xBA permitida muy baja 0.198,3.67,3.29,0.283,90.1,0.38
Tyler Alexander,2,4,xwOBA élite 0.276 — domina contacto | EV permitida normal-baja 87.6 mph,2.35,3.12,0.276,87.6,-0.77
Yennier Cano,2,4,xwOBA bajo 0.287 | xBA permitida muy baja 0.225,2.4,3.39,0.287,89.4,-0.99
Kevin Ginkel,2,4,xwOBA bajo 0.291 | xBA permitida muy baja 0.225,2.97,3.49,0.291,90.5,-0.52
Drew Anderson,2,4,xwOBA bajo 0.285 | xBA permitida muy baja 0.209,4.28,3.34,0.285,90.6,0.94
Jordan Hicks,2,4,xwOBA bajo 0.291 | xBA permitida muy baja 0.222,4.01,3.49,0.291,89.5,0.52
Steven Cruz,2,4,ERA 5.22 pero xERA 4.13 — diferencia +1.09 | xBA permitida muy baja 0.228,5.22,4.13,0.315,89.5,1.09
Grant Anderson,2,4,xwOBA bajo 0.283 | xBA permitida muy baja 0.214,3.32,3.29,0.283,88.8,0.03
Justin Sterner,2,4,xwOBA bajo 0.283 | xBA permitida muy baja 0.218,3.92,3.29,0.283,90.3,0.63
José Alvarado,2,4,ERA 7.03 pero xERA 3.85 — diferencia +3.18 | EV permitida normal-baja 87.2 mph,7.03,3.85,0.305,87.2,3.18
Grant Wolfram,2,4,ERA 5.06 pero xERA 3.67 — diferencia +1.39 | xwOBA bajo 0.298,5.06,3.67,0.298,88.9,1.39
Jimmy Herget,2,4,xwOBA bajo 0.286 | xBA permitida muy baja 0.214,3.52,3.36,0.286,89.3,0.16
Elvis Alvarado,2,4,ERA 5.33 pero xERA 4.31 — diferencia +1.02 | xBA permitida muy baja 0.199,5.33,4.31,0.321,90.4,1.02
Cole Winn,2,4,ERA 6.32 pero xERA 4.55 — diferencia +1.77 | EV permitida normal-baja 87.9 mph,6.32,4.55,0.329,87.9,1.77
Clayton Beeter,2,4,xwOBA bajo 0.285 | xBA permitida muy baja 0.182,3.0,3.34,0.285,89.0,-0.34
Erik Sabrowski,2,4,xwOBA bajo 0.280 | xBA permitida muy baja 0.158,3.33,3.22,0.28,92.2,0.11
Michael Petersen,2,4,xwOBA bajo 0.284 | xBA permitida muy baja 0.190,2.93,3.31,0.284,91.0,-0.38
José Suarez,2,3,xwOBA bajo 0.295 | EV permitida normal-baja 87.7 mph,4.44,3.59,0.295,87.7,0.85
Jeffrey Springs,2,3,ERA 6.08 pero xERA 4.58 — diferencia +1.50 | EV permitida normal-baja 87.8 mph,6.08,4.58,0.33,87.8,1.5
Antonio Senzatela,2,3,xwOBA bajo 0.292 | EV permitida normal-baja 87.8 mph,3.06,3.51,0.292,87.8,-0.45
Gabe Speier,2,3,EV permitida normal-baja 88.1 mph | xBA permitida muy baja 0.221,1.96,4.05,0.312,88.1,-2.09
Braydon Fisher,2,3,EV permitida normal-baja 88.0 mph | xBA permitida muy baja 0.216,3.33,3.88,0.306,88.0,-0.55
Caleb Thielbar,2,3,EV permitida normal-baja 87.3 mph | xBA permitida muy baja 0.215,4.44,4.43,0.325,87.3,0.01
Ryan Thompson,2,3,xwOBA bajo 0.292 | EV permitida normal-baja 88.4 mph,2.97,3.51,0.292,88.4,-0.54
Dylan Smith,2,3,EV permitida normal-baja 87.8 mph | xBA permitida muy baja 0.220,3.86,4.31,0.321,87.8,-0.45
Garrett Whitlock,2,3,xwOBA bajo 0.281 | EV permitida normal-baja 87.5 mph,2.32,3.24,0.281,87.5,-0.92
Sam Moll,2,3,EV permitida normal-baja 88.3 mph | xBA permitida muy baja 0.217,3.76,4.22,0.318,88.3,-0.46
Sean Newcomb,2,3,xwOBA bajo 0.295 | EV permitida normal-baja 87.0 mph,2.58,3.59,0.295,87.0,-1.01
Bryan Hudson,2,3,xwOBA bajo 0.294 | EV permitida normal-baja 87.8 mph,2.25,3.56,0.294,87.8,-1.31
Yuki Matsui,2,3,EV permitida normal-baja 88.0 mph | xBA permitida muy baja 0.194,2.23,4.05,0.312,88.0,-1.82
Ben Peoples,2,3,xwOBA bajo 0.287 | EV permitida normal-baja 88.0 mph,0.0,3.39,0.287,88.0,-3.39
