Name,Señales,Score_Explosion,Detalle,wOBA,xwOBA,BABIP,EV,Barrel%,diff_xwoba
J.C. Escarra,3,8,xwOBA supera wOBA en +0.073 | BABIP muy bajo 0.205 — hits no caen | xBA 0.225 supera BA 0.157,0.212,0.285,0.205,89.9,5.1,0.073
Thomas Saggese,3,8,xwOBA supera wOBA en +0.066 | BABIP muy bajo 0.244 — hits no caen | xBA 0.200 supera BA 0.159,0.192,0.258,0.244,88.7,6.7,0.066
Jake Cronenworth,3,8,xwOBA supera wOBA en +0.072 | BABIP muy bajo 0.178 — hits no caen | xBA 0.218 supera BA 0.144,0.233,0.305,0.178,87.4,5.5,0.072
Harrison Bader,3,8,xwOBA supera wOBA en +0.031 | BABIP muy bajo 0.164 — hits no caen | xBA 0.209 supera BA 0.157,0.231,0.262,0.164,88.6,6.8,0.031
Nick Castellanos,3,8,xwOBA supera wOBA en +0.042 | BABIP muy bajo 0.239 — hits no caen | xBA 0.246 supera BA 0.194,0.242,0.284,0.239,87.7,8.6,0.042
Petey Halpin,3,8,xwOBA supera wOBA en +0.096 | BABIP muy bajo 0.133 — hits no caen | xBA 0.178 supera BA 0.100,0.119,0.215,0.133,88.3,6.7,0.096
Addison Barger,3,8,xwOBA supera wOBA en +0.085 | BABIP muy bajo 0.063 — hits no caen | xBA 0.131 supera BA 0.045,0.171,0.256,0.063,89.0,0.0,0.085
Gabriel Arias,3,8,BABIP bajo 0.250 | EV élite 94.6 mph | Barrel rate élite 16.7%,0.299,0.293,0.25,94.6,16.7,-0.006
Carson Williams,3,8,xwOBA supera wOBA en +0.031 | BABIP muy bajo 0.200 — hits no caen | xBA 0.165 supera BA 0.120,0.145,0.176,0.2,83.0,0.0,0.031
Ha-Seong Kim,3,8,xwOBA supera wOBA en +0.074 | BABIP muy bajo 0.150 — hits no caen | xBA 0.197 supera BA 0.115,0.184,0.258,0.15,85.4,0.0,0.074
Evan Carter,3,8,xwOBA supera wOBA en +0.031 | BABIP muy bajo 0.184 — hits no caen | xBA 0.207 supera BA 0.164,0.274,0.305,0.184,88.2,8.1,0.031
Luis Rengifo,3,8,xwOBA supera wOBA en +0.046 | BABIP muy bajo 0.227 — hits no caen | xBA 0.238 supera BA 0.199,0.237,0.283,0.227,87.7,5.9,0.046
Carlos Santana,3,8,xwOBA supera wOBA en +0.049 | BABIP muy bajo 0.125 — hits no caen | xBA 0.141 supera BA 0.083,0.138,0.187,0.125,87.8,0.0,0.049
Sebastián Rivero,3,8,xwOBA supera wOBA en +0.052 | BABIP muy bajo 0.190 — hits no caen | xBA 0.194 supera BA 0.143,0.148,0.2,0.19,83.8,0.0,0.052
Freddy Fermin,3,8,xwOBA supera wOBA en +0.035 | BABIP muy bajo 0.194 — hits no caen | xBA 0.185 supera BA 0.149,0.21,0.245,0.194,86.2,0.0,0.035
Cam Smith,3,8,xwOBA supera wOBA en +0.049 | Barrel rate élite 13.8% | xBA 0.242 supera BA 0.206,0.284,0.333,0.274,88.7,13.8,0.049
Blake Perkins,3,8,xwOBA supera wOBA en +0.054 | BABIP muy bajo 0.143 — hits no caen | xBA 0.167 supera BA 0.105,0.18,0.234,0.143,84.4,4.7,0.054
Luisangel Acuña,3,8,xwOBA supera wOBA en +0.067 | BABIP muy bajo 0.219 — hits no caen | xBA 0.242 supera BA 0.178,0.201,0.268,0.219,89.1,2.7,0.067
Hayden Senger,3,8,xwOBA supera wOBA en +0.068 | BABIP muy bajo 0.167 — hits no caen | xBA 0.174 supera BA 0.125,0.112,0.18,0.167,81.9,0.0,0.068
Jordan Beck,3,7,xwOBA supera wOBA en +0.023 | BABIP muy bajo 0.233 — hits no caen | xBA 0.224 supera BA 0.183,0.237,0.26,0.233,85.3,3.3,0.023
Francisco Alvarez,3,7,xwOBA supera wOBA en +0.024 | EV alto 90.3 mph | Barrel rate élite 16.5%,0.319,0.343,0.284,90.3,16.5,0.024
Dansby Swanson,3,7,xwOBA supera wOBA en +0.024 | BABIP muy bajo 0.207 — hits no caen | EV alto 90.3 mph,0.295,0.319,0.207,90.3,8.9,0.024
Leo Jiménez,3,7,xwOBA supera wOBA en +0.097 | EV alto 90.6 mph | xBA 0.289 supera BA 0.227,0.276,0.373,0.278,90.6,8.3,0.097
Spencer Torkelson,3,7,BABIP bajo 0.260 | EV alto 90.5 mph | Barrel rate élite 13.7%,0.309,0.32,0.26,90.5,13.7,0.011
Jhonny Pereda,3,7,xwOBA supera wOBA en +0.056 | EV alto 91.7 mph | xBA 0.309 supera BA 0.235,0.328,0.384,0.273,91.7,8.3,0.056
Michael Massey,3,7,BABIP muy bajo 0.239 — hits no caen | EV alto 91.3 mph | Barrel rate alto 9.5%,0.275,0.273,0.239,91.3,9.5,-0.002
Jacob Young,3,7,xwOBA supera wOBA en +0.020 | BABIP muy bajo 0.242 — hits no caen | xBA 0.265 supera BA 0.227,0.293,0.313,0.242,88.4,5.2,0.02
Drew Romo,3,7,BABIP muy bajo 0.133 — hits no caen | Barrel rate alto 11.8% | xBA 0.229 supera BA 0.178,0.353,0.349,0.133,83.4,11.8,-0.004
Jorge Polanco,3,7,xwOBA supera wOBA en +0.027 | BABIP muy bajo 0.205 — hits no caen | xBA 0.219 supera BA 0.179,0.243,0.27,0.205,87.3,4.4,0.027
Tim Tawa,3,7,xwOBA supera wOBA en +0.028 | BABIP muy bajo 0.200 — hits no caen | xBA 0.219 supera BA 0.170,0.245,0.273,0.2,87.9,2.5,0.028
Davis Schneider,3,7,xwOBA supera wOBA en +0.021 | BABIP muy bajo 0.211 — hits no caen | Barrel rate alto 10.0%,0.26,0.281,0.211,86.6,10.0,0.021
Moisés Ballesteros,3,7,BABIP bajo 0.253 | EV alto 90.9 mph | Barrel rate élite 12.4%,0.328,0.321,0.253,90.9,12.4,-0.007
Drew Millas,3,7,xwOBA supera wOBA en +0.025 | BABIP muy bajo 0.226 — hits no caen | xBA 0.210 supera BA 0.171,0.24,0.265,0.226,82.3,3.7,0.025
Tyler Tolbert,3,7,xwOBA supera wOBA en +0.044 | BABIP bajo 0.250 | xBA 0.241 supera BA 0.200,0.18,0.224,0.25,80.7,0.0,0.044
Caleb Durbin,3,7,xwOBA supera wOBA en +0.028 | BABIP muy bajo 0.197 — hits no caen | xBA 0.212 supera BA 0.168,0.231,0.259,0.197,84.8,0.8,0.028
Eric Haase,3,7,BABIP bajo 0.250 | Barrel rate élite 16.7% | xBA 0.287 supera BA 0.240,0.355,0.363,0.25,83.0,16.7,0.008
Logan O'Hoppe,3,6,xwOBA supera wOBA en +0.022 | BABIP bajo 0.257 | Barrel rate alto 9.9%,0.26,0.282,0.257,86.7,9.9,0.022
Amed Rosario,3,6,BABIP bajo 0.267 | EV alto 90.9 mph | Barrel rate alto 10.9%,0.324,0.326,0.267,90.9,10.9,0.002
Derek Hill,3,6,xwOBA supera wOBA en +0.028 | Barrel rate alto 11.4% | xBA 0.272 supera BA 0.231,0.32,0.348,0.281,89.9,11.4,0.028
Luis Robert Jr.,3,6,xwOBA supera wOBA en +0.020 | BABIP bajo 0.258 | EV alto 90.2 mph,0.304,0.324,0.258,90.2,2.9,0.02
