Name,Ubicacion,Starts,Doble_Start,Favorabilidad,ERA,xERA,Ks,xwOBA,Oponentes
Carlos Rodón,🏟️ Mi Roster,1,➡️ Simple,50.4,5.63,4.18,10,0.323,2026-05-21 vs Toronto Blue Jays (🟢 Fácil) wOBA:0.303
Freddy Peralta,⚔️ Rival,1,➡️ Simple,48.6,3.31,3.9,54,0.313,2026-05-22 vs Miami Marlins (🟢 Fácil) wOBA:0.315
Martín Pérez,🔓 Waiver,1,➡️ Simple,48.0,2.25,4.04,28,0.318,2026-05-19 vs Miami Marlins (🟢 Fácil) wOBA:0.315
Keider Montero,🔓 Waiver,1,➡️ Simple,47.1,3.65,3.82,31,0.31,2026-05-19 vs Cleveland Guardians (🟢 Fácil) wOBA:0.318
Michael Wacha,⚔️ Rival,1,➡️ Simple,46.6,2.83,3.95,47,0.315,2026-05-20 vs Boston Red Sox (🟢 Fácil) wOBA:0.302
Edward Cabrera,⚔️ Rival,1,➡️ Simple,46.6,4.06,4.38,45,0.33,2026-05-20 vs Milwaukee Brewers (🟢 Fácil) wOBA:0.314
Bailey Falter,🔓 Waiver,1,➡️ Simple,46.4,10.13,3.98,4,0.316,2026-05-19 vs Boston Red Sox (🟢 Fácil) wOBA:0.302
MacKenzie Gore,⚔️ Rival,1,➡️ Simple,46.1,4.78,3.98,55,0.316,2026-05-18 vs Colorado Rockies (🟢 Fácil) wOBA:0.318
JR Ritchie,🔓 Waiver,1,➡️ Simple,45.6,4.91,4.63,21,0.338,2026-05-18 vs Miami Marlins (🟢 Fácil) wOBA:0.315
Tyler Mahle,🔓 Waiver,1,➡️ Simple,45.1,5.59,4.15,48,0.322,2026-05-20 vs Arizona Diamondbacks (🟢 Fácil) wOBA:0.311
Framber Valdez,⚔️ Rival,1,➡️ Simple,44.8,4.58,4.38,45,0.33,2026-05-18 vs Cleveland Guardians (🟢 Fácil) wOBA:0.318
Zebby Matthews,🔓 Waiver,1,➡️ Simple,43.6,0.0,1.66,5,0.205,2026-05-19 vs Houston Astros (🟡 Normal) wOBA:0.329
Jack Leiter,⚔️ Rival,1,➡️ Simple,43.5,4.35,4.63,55,0.338,2026-05-20 vs Colorado Rockies (🟢 Fácil) wOBA:0.318
Seth Lugo,⚔️ Rival,1,➡️ Simple,42.6,3.68,4.94,51,0.348,2026-05-18 vs Boston Red Sox (🟢 Fácil) wOBA:0.302
Robbie Ray,⚔️ Rival,1,➡️ Simple,41.7,4.28,5.21,50,0.356,2026-05-18 vs Arizona Diamondbacks (🟢 Fácil) wOBA:0.311
Braxton Ashcraft,⚔️ Rival,1,➡️ Simple,39.8,3.09,2.87,56,0.271,2026-05-21 vs St. Louis Cardinals (🟡 Normal) wOBA:0.317
Chase Burns,⚔️ Rival,1,➡️ Simple,39.7,1.87,2.96,55,0.275,2026-05-19 vs Philadelphia Phillies (🟡 Normal) wOBA:0.310
Shohei Ohtani,🔓 Waiver,1,➡️ Simple,39.1,0.82,2.32,50,0.244,2026-05-20 vs San Diego Padres (🟡 Normal) wOBA:0.298
Sammy Peralta,🔓 Waiver,1,➡️ Simple,38.7,7.59,3.51,8,0.292,2026-05-19 vs Texas Rangers (🟡 Normal) wOBA:0.304
Parker Messick,⚔️ Rival,1,➡️ Simple,36.3,2.35,3.1,58,0.281,2026-05-19 vs Detroit Tigers (🟡 Normal) wOBA:0.316
Cade Cavalli,⚔️ Rival,1,➡️ Simple,35.5,4.05,4.15,52,0.322,2026-05-21 vs New York Mets (🟡 Normal) wOBA:0.290
Jacob Lopez,🔓 Waiver,1,➡️ Simple,35.3,5.8,3.58,30,0.301,2026-05-19 vs Los Angeles Angels (🟡 Normal) wOBA:0.310
